epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.9184	15.262073516845703	{'tp': 2189, 'tn': 2403, 'fp': 100, 'fn': 308}	0.8661	91.47792053222656	{'tp': 8737, 'tn': 8585, 'fp': 1412, 'fn': 1266}
1	0.9332	14.128049850463867	{'tp': 2200, 'tn': 2466, 'fp': 37, 'fn': 297}	0.9382	46.21134948730469	{'tp': 9448, 'tn': 9316, 'fp': 681, 'fn': 555}
2	0.9498	10.268594741821289	{'tp': 2337, 'tn': 2412, 'fp': 91, 'fn': 160}	0.9537	35.868309020996094	{'tp': 9575, 'tn': 9499, 'fp': 498, 'fn': 428}
3	0.9648	7.3017706871032715	{'tp': 2439, 'tn': 2385, 'fp': 118, 'fn': 58}	0.9645	27.587594985961914	{'tp': 9678, 'tn': 9612, 'fp': 385, 'fn': 325}
4	0.9692	6.925405979156494	{'tp': 2408, 'tn': 2438, 'fp': 65, 'fn': 89}	0.9701	23.91489601135254	{'tp': 9732, 'tn': 9670, 'fp': 327, 'fn': 271}
5	0.957	8.486892700195312	{'tp': 2442, 'tn': 2343, 'fp': 160, 'fn': 55}	0.973	21.407129287719727	{'tp': 9755, 'tn': 9705, 'fp': 292, 'fn': 248}
6	0.968	6.77236795425415	{'tp': 2452, 'tn': 2388, 'fp': 115, 'fn': 45}	0.9784	17.601240158081055	{'tp': 9808, 'tn': 9760, 'fp': 237, 'fn': 195}
7	0.9698	6.487738609313965	{'tp': 2414, 'tn': 2435, 'fp': 68, 'fn': 83}	0.98295	14.37069320678711	{'tp': 9850, 'tn': 9809, 'fp': 188, 'fn': 153}
8	0.9724	6.4028096199035645	{'tp': 2407, 'tn': 2455, 'fp': 48, 'fn': 90}	0.98185	14.70380687713623	{'tp': 9834, 'tn': 9803, 'fp': 194, 'fn': 169}
9	0.9676	7.2136759757995605	{'tp': 2379, 'tn': 2459, 'fp': 44, 'fn': 118}	0.9851	12.340611457824707	{'tp': 9876, 'tn': 9826, 'fp': 171, 'fn': 127}
10	0.9694	6.846750259399414	{'tp': 2405, 'tn': 2442, 'fp': 61, 'fn': 92}	0.9871	10.944002151489258	{'tp': 9883, 'tn': 9859, 'fp': 138, 'fn': 120}
11	0.9704	7.280086040496826	{'tp': 2406, 'tn': 2446, 'fp': 57, 'fn': 91}	0.98675	11.040013313293457	{'tp': 9879, 'tn': 9856, 'fp': 141, 'fn': 124}
12	0.9724	6.3764777183532715	{'tp': 2410, 'tn': 2452, 'fp': 51, 'fn': 87}	0.9887	9.58165168762207	{'tp': 9895, 'tn': 9879, 'fp': 118, 'fn': 108}
13	0.9722	7.0538249015808105	{'tp': 2430, 'tn': 2431, 'fp': 72, 'fn': 67}	0.9894	8.808935165405273	{'tp': 9901, 'tn': 9887, 'fp': 110, 'fn': 102}
14	0.9756	6.117619514465332	{'tp': 2437, 'tn': 2441, 'fp': 62, 'fn': 60}	0.99105	7.503511428833008	{'tp': 9922, 'tn': 9899, 'fp': 98, 'fn': 81}
15	0.968	7.60966157913208	{'tp': 2435, 'tn': 2405, 'fp': 98, 'fn': 62}	0.99125	7.223016262054443	{'tp': 9918, 'tn': 9907, 'fp': 90, 'fn': 85}
16	0.9716	6.943554401397705	{'tp': 2466, 'tn': 2392, 'fp': 111, 'fn': 31}	0.9913	7.952528953552246	{'tp': 9929, 'tn': 9897, 'fp': 100, 'fn': 74}
