epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.6482	48.70205307006836	{'tp': 1229, 'tn': 2012, 'fp': 444, 'fn': 1315}	0.60585	201.77847290039062	{'tp': 5158, 'tn': 6959, 'fp': 3085, 'fn': 4798}
1	0.6948	45.53215789794922	{'tp': 1586, 'tn': 1888, 'fp': 568, 'fn': 958}	0.6739	185.28761291503906	{'tp': 6080, 'tn': 7398, 'fp': 2646, 'fn': 3876}
2	0.702	44.3921012878418	{'tp': 2148, 'tn': 1362, 'fp': 1094, 'fn': 396}	0.71055	174.08151245117188	{'tp': 6518, 'tn': 7693, 'fp': 2351, 'fn': 3438}
3	0.7372	42.0069580078125	{'tp': 1996, 'tn': 1690, 'fp': 766, 'fn': 548}	0.7232	168.4769287109375	{'tp': 6723, 'tn': 7741, 'fp': 2303, 'fn': 3233}
4	0.7536	39.719635009765625	{'tp': 2087, 'tn': 1681, 'fp': 775, 'fn': 457}	0.74355	161.824951171875	{'tp': 6947, 'tn': 7924, 'fp': 2120, 'fn': 3009}
5	0.728	41.60442352294922	{'tp': 2309, 'tn': 1331, 'fp': 1125, 'fn': 235}	0.7596	153.50592041015625	{'tp': 7215, 'tn': 7977, 'fp': 2067, 'fn': 2741}
6	0.7542	39.180686950683594	{'tp': 2263, 'tn': 1508, 'fp': 948, 'fn': 281}	0.7769	145.39573669433594	{'tp': 7436, 'tn': 8102, 'fp': 1942, 'fn': 2520}
7	0.7806	35.343177795410156	{'tp': 2247, 'tn': 1656, 'fp': 800, 'fn': 297}	0.7876	139.07113647460938	{'tp': 7632, 'tn': 8120, 'fp': 1924, 'fn': 2324}
8	0.7778	37.39971160888672	{'tp': 2313, 'tn': 1576, 'fp': 880, 'fn': 231}	0.7974	133.48040771484375	{'tp': 7741, 'tn': 8207, 'fp': 1837, 'fn': 2215}
9	0.8014	33.19832229614258	{'tp': 2229, 'tn': 1778, 'fp': 678, 'fn': 315}	0.80665	128.2072296142578	{'tp': 7864, 'tn': 8269, 'fp': 1775, 'fn': 2092}
10	0.8096	32.28097915649414	{'tp': 2045, 'tn': 2003, 'fp': 453, 'fn': 499}	0.80995	127.08177185058594	{'tp': 7939, 'tn': 8260, 'fp': 1784, 'fn': 2017}
11	0.8148	32.34236526489258	{'tp': 2216, 'tn': 1858, 'fp': 598, 'fn': 328}	0.81985	121.88343811035156	{'tp': 8048, 'tn': 8349, 'fp': 1695, 'fn': 1908}
12	0.8344	29.653350830078125	{'tp': 2079, 'tn': 2093, 'fp': 363, 'fn': 465}	0.8206	119.87328338623047	{'tp': 8073, 'tn': 8339, 'fp': 1705, 'fn': 1883}
13	0.834	29.536251068115234	{'tp': 2009, 'tn': 2161, 'fp': 295, 'fn': 535}	0.83035	116.13634490966797	{'tp': 8135, 'tn': 8472, 'fp': 1572, 'fn': 1821}
14	0.8368	28.31475830078125	{'tp': 2128, 'tn': 2056, 'fp': 400, 'fn': 416}	0.83605	112.40290069580078	{'tp': 8251, 'tn': 8470, 'fp': 1574, 'fn': 1705}
15	0.8372	29.318113327026367	{'tp': 2180, 'tn': 2006, 'fp': 450, 'fn': 364}	0.84385	108.92159271240234	{'tp': 8317, 'tn': 8560, 'fp': 1484, 'fn': 1639}
16	0.842	28.484752655029297	{'tp': 2167, 'tn': 2043, 'fp': 413, 'fn': 377}	0.8459	106.7749252319336	{'tp': 8337, 'tn': 8581, 'fp': 1463, 'fn': 1619}
17	0.8324	30.59712791442871	{'tp': 2052, 'tn': 2110, 'fp': 346, 'fn': 492}	0.84725	105.63221740722656	{'tp': 8397, 'tn': 8548, 'fp': 1496, 'fn': 1559}
18	0.8484	27.459836959838867	{'tp': 2186, 'tn': 2056, 'fp': 400, 'fn': 358}	0.85445	101.5557861328125	{'tp': 8451, 'tn': 8638, 'fp': 1406, 'fn': 1505}
19	0.8336	31.085384368896484	{'tp': 2073, 'tn': 2095, 'fp': 361, 'fn': 471}	0.85985	99.0483627319336	{'tp': 8502, 'tn': 8695, 'fp': 1349, 'fn': 1454}
20	0.8378	30.302804946899414	{'tp': 1968, 'tn': 2221, 'fp': 235, 'fn': 576}	0.8619	97.62159729003906	{'tp': 8577, 'tn': 8661, 'fp': 1383, 'fn': 1379}
21	0.8372	30.431324005126953	{'tp': 2019, 'tn': 2167, 'fp': 289, 'fn': 525}	0.867	95.2090072631836	{'tp': 8607, 'tn': 8733, 'fp': 1311, 'fn': 1349}
22	0.8536	28.72587013244629	{'tp': 2126, 'tn': 2142, 'fp': 314, 'fn': 418}	0.8679	92.2627944946289	{'tp': 8607, 'tn': 8751, 'fp': 1293, 'fn': 1349}
23	0.8428	27.563491821289062	{'tp': 2126, 'tn': 2088, 'fp': 368, 'fn': 418}	0.86775	91.56439208984375	{'tp': 8626, 'tn': 8729, 'fp': 1315, 'fn': 1330}
24	0.8518	26.835838317871094	{'tp': 2161, 'tn': 2098, 'fp': 358, 'fn': 383}	0.87155	88.97610473632812	{'tp': 8658, 'tn': 8773, 'fp': 1271, 'fn': 1298}
25	0.8482	27.664016723632812	{'tp': 2099, 'tn': 2142, 'fp': 314, 'fn': 445}	0.88375	83.51726531982422	{'tp': 8789, 'tn': 8886, 'fp': 1158, 'fn': 1167}
26	0.8518	28.466594696044922	{'tp': 2143, 'tn': 2116, 'fp': 340, 'fn': 401}	0.88385	82.63191223144531	{'tp': 8803, 'tn': 8874, 'fp': 1170, 'fn': 1153}
27	0.8376	30.003780364990234	{'tp': 1978, 'tn': 2210, 'fp': 246, 'fn': 566}	0.8847	81.60002136230469	{'tp': 8779, 'tn': 8915, 'fp': 1129, 'fn': 1177}
28	0.8398	29.108413696289062	{'tp': 2037, 'tn': 2162, 'fp': 294, 'fn': 507}	0.8907	79.59881591796875	{'tp': 8864, 'tn': 8950, 'fp': 1094, 'fn': 1092}
29	0.8398	29.05805778503418	{'tp': 2063, 'tn': 2136, 'fp': 320, 'fn': 481}	0.8923	78.57479095458984	{'tp': 8892, 'tn': 8954, 'fp': 1090, 'fn': 1064}
30	0.8194	32.75825119018555	{'tp': 1837, 'tn': 2260, 'fp': 196, 'fn': 707}	0.8946	75.13691711425781	{'tp': 8882, 'tn': 9010, 'fp': 1034, 'fn': 1074}
31	0.822	35.22325897216797	{'tp': 1834, 'tn': 2276, 'fp': 180, 'fn': 710}	0.8947	74.64220428466797	{'tp': 8915, 'tn': 8979, 'fp': 1065, 'fn': 1041}
