epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.8448	28.030683517456055	{'tp': 1999, 'tn': 2225, 'fp': 245, 'fn': 531}	0.81825	124.87350463867188	{'tp': 7944, 'tn': 8421, 'fp': 1609, 'fn': 2026}
1	0.8362	31.159093856811523	{'tp': 2445, 'tn': 1736, 'fp': 734, 'fn': 85}	0.8759	90.14521026611328	{'tp': 8684, 'tn': 8834, 'fp': 1196, 'fn': 1286}
2	0.861	24.333005905151367	{'tp': 2407, 'tn': 1898, 'fp': 572, 'fn': 123}	0.89145	79.21975708007812	{'tp': 8871, 'tn': 8958, 'fp': 1072, 'fn': 1099}
3	0.8974	18.945053100585938	{'tp': 2366, 'tn': 2121, 'fp': 349, 'fn': 164}	0.90285	71.14190673828125	{'tp': 9016, 'tn': 9041, 'fp': 989, 'fn': 954}
4	0.8968	21.668678283691406	{'tp': 2121, 'tn': 2363, 'fp': 107, 'fn': 409}	0.91075	66.10101318359375	{'tp': 9065, 'tn': 9150, 'fp': 880, 'fn': 905}
5	0.8904	21.8214168548584	{'tp': 2429, 'tn': 2023, 'fp': 447, 'fn': 101}	0.9152	62.91852951049805	{'tp': 9153, 'tn': 9151, 'fp': 879, 'fn': 817}
6	0.8794	25.458961486816406	{'tp': 2480, 'tn': 1917, 'fp': 553, 'fn': 50}	0.9228	58.57377624511719	{'tp': 9219, 'tn': 9237, 'fp': 793, 'fn': 751}
7	0.9084	18.118144989013672	{'tp': 2398, 'tn': 2144, 'fp': 326, 'fn': 132}	0.9262	55.32032775878906	{'tp': 9249, 'tn': 9275, 'fp': 755, 'fn': 721}
8	0.914	17.0072078704834	{'tp': 2280, 'tn': 2290, 'fp': 180, 'fn': 250}	0.92705	54.21683120727539	{'tp': 9270, 'tn': 9271, 'fp': 759, 'fn': 700}
9	0.9212	15.60610580444336	{'tp': 2268, 'tn': 2338, 'fp': 132, 'fn': 262}	0.9333	51.065059661865234	{'tp': 9332, 'tn': 9334, 'fp': 696, 'fn': 638}
10	0.9288	13.917142868041992	{'tp': 2368, 'tn': 2276, 'fp': 194, 'fn': 162}	0.9339	49.458412170410156	{'tp': 9342, 'tn': 9336, 'fp': 694, 'fn': 628}
11	0.913	17.31688690185547	{'tp': 2449, 'tn': 2116, 'fp': 354, 'fn': 81}	0.938	46.8663444519043	{'tp': 9375, 'tn': 9385, 'fp': 645, 'fn': 595}
12	0.8852	26.029619216918945	{'tp': 2478, 'tn': 1948, 'fp': 522, 'fn': 52}	0.93895	46.428836822509766	{'tp': 9383, 'tn': 9396, 'fp': 634, 'fn': 587}
13	0.916	15.699378967285156	{'tp': 2365, 'tn': 2215, 'fp': 255, 'fn': 165}	0.94305	43.92604064941406	{'tp': 9434, 'tn': 9427, 'fp': 603, 'fn': 536}
14	0.909	16.95194435119629	{'tp': 2167, 'tn': 2378, 'fp': 92, 'fn': 363}	0.9459	42.542457580566406	{'tp': 9433, 'tn': 9485, 'fp': 545, 'fn': 537}
15	0.9276	14.209306716918945	{'tp': 2363, 'tn': 2275, 'fp': 195, 'fn': 167}	0.94545	41.91731262207031	{'tp': 9457, 'tn': 9452, 'fp': 578, 'fn': 513}
16	0.9246	15.754249572753906	{'tp': 2289, 'tn': 2334, 'fp': 136, 'fn': 241}	0.9457	40.1630744934082	{'tp': 9455, 'tn': 9459, 'fp': 571, 'fn': 515}
17	0.894	21.556392669677734	{'tp': 2454, 'tn': 2016, 'fp': 454, 'fn': 76}	0.9513	39.31787109375	{'tp': 9514, 'tn': 9512, 'fp': 518, 'fn': 456}
18	0.9276	14.6237211227417	{'tp': 2325, 'tn': 2313, 'fp': 157, 'fn': 205}	0.94855	39.2898063659668	{'tp': 9485, 'tn': 9486, 'fp': 544, 'fn': 485}
19	0.9172	19.805370330810547	{'tp': 2451, 'tn': 2135, 'fp': 335, 'fn': 79}	0.95115	38.46133804321289	{'tp': 9497, 'tn': 9526, 'fp': 504, 'fn': 473}
20	0.925	15.444530487060547	{'tp': 2371, 'tn': 2254, 'fp': 216, 'fn': 159}	0.95425	35.87037658691406	{'tp': 9508, 'tn': 9577, 'fp': 453, 'fn': 462}
