epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.6498	48.227359771728516	{'tp': 1678, 'tn': 1571, 'fp': 886, 'fn': 865}	0.6153	203.40187072753906	{'tp': 5213, 'tn': 7093, 'fp': 2950, 'fn': 4744}
1	0.6246	50.66534423828125	{'tp': 844, 'tn': 2279, 'fp': 178, 'fn': 1699}	0.64625	193.29505920410156	{'tp': 5911, 'tn': 7014, 'fp': 3029, 'fn': 4046}
2	0.6274	50.27558898925781	{'tp': 885, 'tn': 2252, 'fp': 205, 'fn': 1658}	0.66525	187.81954956054688	{'tp': 6240, 'tn': 7065, 'fp': 2978, 'fn': 3717}
3	0.6752	46.770225524902344	{'tp': 1248, 'tn': 2128, 'fp': 329, 'fn': 1295}	0.6817	183.1800537109375	{'tp': 6301, 'tn': 7333, 'fp': 2710, 'fn': 3656}
4	0.662	47.48505401611328	{'tp': 1079, 'tn': 2231, 'fp': 226, 'fn': 1464}	0.692	179.78610229492188	{'tp': 6504, 'tn': 7336, 'fp': 2707, 'fn': 3453}
5	0.7064	44.04347229003906	{'tp': 1558, 'tn': 1974, 'fp': 483, 'fn': 985}	0.69895	177.12643432617188	{'tp': 6523, 'tn': 7456, 'fp': 2587, 'fn': 3434}
6	0.7026	44.3422966003418	{'tp': 1516, 'tn': 1997, 'fp': 460, 'fn': 1027}	0.7055	174.3812713623047	{'tp': 6629, 'tn': 7481, 'fp': 2562, 'fn': 3328}
7	0.6896	44.870643615722656	{'tp': 1240, 'tn': 2208, 'fp': 249, 'fn': 1303}	0.70975	173.2821807861328	{'tp': 6777, 'tn': 7418, 'fp': 2625, 'fn': 3180}
8	0.6566	48.69321823120117	{'tp': 947, 'tn': 2336, 'fp': 121, 'fn': 1596}	0.7152	171.484619140625	{'tp': 6789, 'tn': 7515, 'fp': 2528, 'fn': 3168}
9	0.723	42.13685607910156	{'tp': 1648, 'tn': 1967, 'fp': 490, 'fn': 895}	0.71695	170.22134399414062	{'tp': 6788, 'tn': 7551, 'fp': 2492, 'fn': 3169}
