epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.9204	15.932671546936035	{'tp': 2375, 'tn': 2227, 'fp': 253, 'fn': 145}	0.8869	82.01775360107422	{'tp': 8821, 'tn': 8917, 'fp': 1103, 'fn': 1159}
1	0.8802	28.980762481689453	{'tp': 2444, 'tn': 1957, 'fp': 523, 'fn': 76}	0.92745	54.850040435791016	{'tp': 9266, 'tn': 9283, 'fp': 737, 'fn': 714}
2	0.9454	11.317851066589355	{'tp': 2354, 'tn': 2373, 'fp': 107, 'fn': 166}	0.93875	47.14892578125	{'tp': 9398, 'tn': 9377, 'fp': 643, 'fn': 582}
3	0.9234	14.309130668640137	{'tp': 2237, 'tn': 2380, 'fp': 100, 'fn': 283}	0.94245	44.07825469970703	{'tp': 9424, 'tn': 9425, 'fp': 595, 'fn': 556}
4	0.9282	14.897022247314453	{'tp': 2259, 'tn': 2382, 'fp': 98, 'fn': 261}	0.9467	40.34785079956055	{'tp': 9468, 'tn': 9466, 'fp': 554, 'fn': 512}
5	0.9058	20.984766006469727	{'tp': 2473, 'tn': 2056, 'fp': 424, 'fn': 47}	0.95355	36.912113189697266	{'tp': 9528, 'tn': 9543, 'fp': 477, 'fn': 452}
6	0.9122	17.580303192138672	{'tp': 2125, 'tn': 2436, 'fp': 44, 'fn': 395}	0.9571	33.34089279174805	{'tp': 9572, 'tn': 9570, 'fp': 450, 'fn': 408}
7	0.9446	13.02197551727295	{'tp': 2318, 'tn': 2405, 'fp': 75, 'fn': 202}	0.9592	31.961294174194336	{'tp': 9567, 'tn': 9617, 'fp': 403, 'fn': 413}
8	0.918	15.927998542785645	{'tp': 2220, 'tn': 2370, 'fp': 110, 'fn': 300}	0.9625	29.220401763916016	{'tp': 9596, 'tn': 9654, 'fp': 366, 'fn': 384}
9	0.952	10.627328872680664	{'tp': 2420, 'tn': 2340, 'fp': 140, 'fn': 100}	0.9618	29.547578811645508	{'tp': 9624, 'tn': 9612, 'fp': 408, 'fn': 356}
10	0.9446	12.543676376342773	{'tp': 2443, 'tn': 2280, 'fp': 200, 'fn': 77}	0.9674	26.440927505493164	{'tp': 9668, 'tn': 9680, 'fp': 340, 'fn': 312}
11	0.9498	10.695841789245605	{'tp': 2384, 'tn': 2365, 'fp': 115, 'fn': 136}	0.9702	23.503599166870117	{'tp': 9687, 'tn': 9717, 'fp': 303, 'fn': 293}
12	0.9472	12.422985076904297	{'tp': 2468, 'tn': 2268, 'fp': 212, 'fn': 52}	0.97095	23.2050724029541	{'tp': 9701, 'tn': 9718, 'fp': 302, 'fn': 279}
13	0.9164	18.17263412475586	{'tp': 2163, 'tn': 2419, 'fp': 61, 'fn': 357}	0.9723	21.96858787536621	{'tp': 9714, 'tn': 9732, 'fp': 288, 'fn': 266}
14	0.9486	11.876569747924805	{'tp': 2406, 'tn': 2337, 'fp': 143, 'fn': 114}	0.97455	21.046995162963867	{'tp': 9735, 'tn': 9756, 'fp': 264, 'fn': 245}
15	0.9416	13.428954124450684	{'tp': 2316, 'tn': 2392, 'fp': 88, 'fn': 204}	0.9745	19.409343719482422	{'tp': 9722, 'tn': 9768, 'fp': 252, 'fn': 258}
16	0.9534	10.875349998474121	{'tp': 2391, 'tn': 2376, 'fp': 104, 'fn': 129}	0.9754	19.737451553344727	{'tp': 9732, 'tn': 9776, 'fp': 244, 'fn': 248}
17	0.9496	12.71949291229248	{'tp': 2410, 'tn': 2338, 'fp': 142, 'fn': 110}	0.97655	19.22200584411621	{'tp': 9738, 'tn': 9793, 'fp': 227, 'fn': 242}
18	0.9552	11.895973205566406	{'tp': 2424, 'tn': 2352, 'fp': 128, 'fn': 96}	0.97795	18.11464500427246	{'tp': 9765, 'tn': 9794, 'fp': 226, 'fn': 215}
19	0.93	16.800151824951172	{'tp': 2220, 'tn': 2430, 'fp': 50, 'fn': 300}	0.98085	16.253313064575195	{'tp': 9796, 'tn': 9821, 'fp': 199, 'fn': 184}
